data,sku,categoria,demanda,estoque,preco,pred
2023-10-03,S001-P0001,Electronics,72,100,69.78,94.92829588806678
2023-10-04,S001-P0001,Electronics,90,335,70.52,94.9653854170778
2023-10-05,S001-P0001,Electronics,78,236,64.25,84.94971449372926
2023-10-06,S001-P0001,Electronics,80,186,61.29,93.630388286294
2023-10-07,S001-P0001,Electronics,58,289,56.62,49.38968052986219
2023-10-08,S001-P0001,Electronics,23,239,51.89,53.5751060729628
2023-10-09,S001-P0001,Electronics,44,220,50.11,70.97660733547755
2023-10-10,S001-P0001,Electronics,43,178,56.24,48.89114760013091
2023-10-11,S001-P0001,Electronics,82,126,68.63,60.29576498135606
2023-10-12,S001-P0001,Electronics,49,132,45.63,65.25571393682965
2023-10-13,S001-P0001,Electronics,38,279,55.13,48.48772430551005
2023-10-14,S001-P0001,Electronics,34,245,54.3,49.60956348540798
2023-10-15,S001-P0001,Electronics,28,220,52.8,49.49964947175172
2023-10-16,S001-P0001,Electronics,46,196,63.18,51.09333667825183
2023-10-17,S001-P0001,Electronics,66,168,61.48,74.9763434080879
2023-10-18,S001-P0001,Electronics,20,126,48.5,49.30020642277863
2023-10-19,S001-P0001,Electronics,53,229,46.32,76.69532248048186
2023-10-20,S001-P0001,Electronics,77,167,60.71,76.33688591664855
2023-10-21,S001-P0001,Electronics,36,78,51.79,59.17689806367058
2023-10-22,S001-P0001,Electronics,47,214,57.28,53.53149054505815
2023-10-23,S001-P0001,Electronics,101,171,61.6,69.80132939336919
2023-10-24,S001-P0001,Electronics,53,62,61.7,49.19466925571237
2023-10-25,S001-P0001,Electronics,152,182,76.92,116.17160582603212
2023-10-26,S001-P0001,Electronics,106,68,55.83,121.60693293843919
2023-10-27,S001-P0001,Electronics,143,288,78.95,106.74388528016527
2023-10-28,S001-P0001,Electronics,114,143,80.26,107.94154989572013
2023-10-29,S001-P0001,Electronics,162,285,87.76,108.17329832280008
2023-10-30,S001-P0001,Electronics,109,181,75.22,89.35277707846913
2023-10-31,S001-P0001,Electronics,66,393,68.12,86.52946206852816
2023-11-01,S001-P0001,Electronics,99,346,54.56,109.9557413023662
2023-11-02,S001-P0001,Electronics,128,245,83.79,107.01343546288999
2023-11-03,S001-P0001,Electronics,137,102,65.53,110.66678238175726
2023-11-04,S001-P0001,Electronics,120,269,73.56,88.68349312194816
2023-11-05,S001-P0001,Electronics,105,444,70.31,88.73649191102726
2023-11-06,S001-P0001,Electronics,97,354,76.05,89.99340041404888
2023-11-07,S001-P0001,Electronics,99,255,65.04,110.62443319416388
2023-11-08,S001-P0001,Electronics,144,187,71.06,136.70715865669163
2023-11-09,S001-P0001,Electronics,117,259,81.04,85.69749342694135
2023-11-10,S001-P0001,Electronics,77,450,70.95,86.25415103133217
2023-11-11,S001-P0001,Electronics,91,394,74.61,86.57742914958237
2023-11-12,S001-P0001,Electronics,95,308,64.26,111.94931073602571
