data,sku,categoria,demanda,estoque,preco,preco_ref,pred
2023-10-03,S001-P0001,Electronics,72,100,69.78,66.465,93.79671932554345
2023-10-04,S001-P0001,Electronics,90,335,70.52,66.465,93.69655444503269
2023-10-05,S001-P0001,Electronics,78,236,64.25,66.465,83.19240061196058
2023-10-06,S001-P0001,Electronics,80,186,61.29,66.465,93.67967880158407
2023-10-07,S001-P0001,Electronics,58,289,56.62,66.465,40.01028870337348
2023-10-08,S001-P0001,Electronics,23,239,51.89,66.465,50.49517514310605
2023-10-09,S001-P0001,Electronics,44,220,50.11,66.465,79.41971718899173
2023-10-10,S001-P0001,Electronics,43,178,56.24,66.465,40.18104272452397
2023-10-11,S001-P0001,Electronics,82,126,68.63,66.465,61.29587863260903
2023-10-12,S001-P0001,Electronics,49,132,45.63,66.465,68.7715140088859
2023-10-13,S001-P0001,Electronics,38,279,55.13,66.465,39.91641163591802
2023-10-14,S001-P0001,Electronics,34,245,54.3,66.465,40.05536219466007
2023-10-15,S001-P0001,Electronics,28,220,52.8,66.465,40.28552936287024
2023-10-16,S001-P0001,Electronics,46,196,63.18,66.465,40.24582798107735
2023-10-17,S001-P0001,Electronics,66,168,61.48,66.465,90.2921464357624
2023-10-18,S001-P0001,Electronics,20,126,48.5,66.465,40.12040306557498
2023-10-19,S001-P0001,Electronics,53,229,46.32,66.465,90.19130468890467
2023-10-20,S001-P0001,Electronics,77,167,60.71,66.465,90.05875688959726
2023-10-21,S001-P0001,Electronics,36,78,51.79,66.465,61.52748243716336
2023-10-22,S001-P0001,Electronics,47,214,57.28,66.465,50.68431359640644
2023-10-23,S001-P0001,Electronics,101,171,61.6,66.465,79.6064045745197
2023-10-24,S001-P0001,Electronics,53,62,61.7,66.465,40.27550092704326
2023-10-25,S001-P0001,Electronics,152,182,76.92,66.465,122.72496045553194
2023-10-26,S001-P0001,Electronics,106,68,55.83,66.465,122.77988745118705
2023-10-27,S001-P0001,Electronics,143,288,78.95,66.465,104.91935919785084
2023-10-28,S001-P0001,Electronics,114,143,80.26,66.465,104.9658671751145
2023-10-29,S001-P0001,Electronics,162,285,87.76,66.465,105.19326325678512
2023-10-30,S001-P0001,Electronics,109,181,75.22,66.465,83.87992038095595
2023-10-31,S001-P0001,Electronics,66,393,68.12,66.465,83.7991129540718
2023-11-01,S001-P0001,Electronics,99,346,54.56,66.465,112.56352668984786
2023-11-02,S001-P0001,Electronics,128,245,83.79,66.465,104.8149100754395
2023-11-03,S001-P0001,Electronics,137,102,65.53,66.465,112.42648271018635
2023-11-04,S001-P0001,Electronics,120,269,73.56,66.465,83.74758344504787
2023-11-05,S001-P0001,Electronics,105,444,70.31,66.465,83.91850710135424
2023-11-06,S001-P0001,Electronics,97,354,76.05,66.465,83.87433139863509
2023-11-07,S001-P0001,Electronics,99,255,65.04,66.465,112.64528586556673
2023-11-08,S001-P0001,Electronics,144,187,71.06,66.465,133.84404646533096
2023-11-09,S001-P0001,Electronics,117,259,81.04,66.465,83.5520786789051
2023-11-10,S001-P0001,Electronics,77,450,70.95,66.465,83.57930643659884
2023-11-11,S001-P0001,Electronics,91,394,74.61,66.465,83.73213590512998
2023-11-12,S001-P0001,Electronics,95,308,64.26,66.465,112.75472852251698
2023-11-13,S001-P0001,Electronics,35,227,45.27,66.465,123.29143247192093
2023-11-14,S001-P0001,Electronics,122,196,74.19,66.465,83.99041727477612
2023-11-15,S001-P0001,Electronics,90,99,63.41,66.465,83.79193737318653
2023-11-16,S001-P0001,Electronics,164,276,66.28,66.465,122.92885203385407
2023-11-17,S001-P0001,Electronics,102,90,69.56,66.465,83.70261592795777
2023-11-18,S001-P0001,Electronics,106,269,62.72,66.465,112.65217979350359
2023-11-19,S001-P0001,Electronics,127,199,79.47,66.465,105.27173172739556
2023-11-20,S001-P0001,Electronics,132,314,72.66,66.465,112.8065011009273
2023-11-21,S001-P0001,Electronics,56,192,56.23,66.465,105.35706846656451
2023-11-22,S001-P0001,Electronics,100,430,65.68,66.465,94.22920018236002
2023-11-23,S001-P0001,Electronics,71,324,66.1,66.465,83.69443177779456
2023-11-24,S001-P0001,Electronics,56,244,62.5,66.465,94.02634032121426
2023-11-25,S001-P0001,Electronics,107,210,78.53,66.465,83.7771814396435
2023-11-26,S001-P0001,Electronics,148,94,71.06,66.465,134.21132872287768
2023-11-27,S001-P0001,Electronics,88,196,73.78,66.465,105.36292503319852
2023-11-28,S001-P0001,Electronics,139,347,82.38,66.465,83.94911310819768
2023-11-29,S001-P0001,Electronics,148,240,89.0,66.465,105.1072834092326
2023-11-30,S001-P0001,Electronics,99,443,72.7,66.465,94.02630907977469
2023-12-01,S001-P0001,Electronics,109,326,79.16,66.465,107.61823851591835
2023-12-02,S001-P0001,Electronics,160,202,74.29,66.465,125.65633731699182
2023-12-03,S001-P0001,Electronics,119,43,73.4,66.465,97.07590563960095
2023-12-04,S001-P0001,Electronics,73,275,59.94,66.465,125.82267823065186
2023-12-05,S001-P0001,Electronics,24,407,54.67,66.465,96.93391520542798
2023-12-06,S001-P0001,Electronics,142,385,74.73,66.465,107.8364441868265
2023-12-07,S001-P0001,Electronics,131,264,84.62,66.465,96.64376492620059
2023-12-08,S001-P0001,Electronics,147,165,79.68,66.465,125.4617848773546
2023-12-09,S001-P0001,Electronics,99,237,65.53,66.465,86.51968163559664
2023-12-10,S001-P0001,Electronics,127,129,62.63,66.465,115.53440786926143
2023-12-11,S001-P0001,Electronics,67,199,65.11,66.465,86.6271197376893
