data,sku,categoria,demanda,estoque,preco,preco_ref,pred
2023-10-03,S001-P0001,Electronics,72,100,69.78,66.465,97.33001
2023-10-04,S001-P0001,Electronics,90,335,70.52,66.465,98.364525
2023-10-05,S001-P0001,Electronics,78,236,64.25,66.465,87.16139
2023-10-06,S001-P0001,Electronics,80,186,61.29,66.465,97.64133
2023-10-07,S001-P0001,Electronics,58,289,56.62,66.465,45.660652
2023-10-08,S001-P0001,Electronics,23,239,51.89,66.465,52.905205
2023-10-09,S001-P0001,Electronics,44,220,50.11,66.465,67.0731
2023-10-10,S001-P0001,Electronics,43,178,56.24,66.465,45.55475
2023-10-11,S001-P0001,Electronics,82,126,68.63,66.465,56.463226
2023-10-12,S001-P0001,Electronics,49,132,45.63,66.465,61.855972
2023-10-13,S001-P0001,Electronics,38,279,55.13,66.465,46.564983
2023-10-14,S001-P0001,Electronics,34,245,54.3,66.465,45.88898
2023-10-15,S001-P0001,Electronics,28,220,52.8,66.465,48.250484
2023-10-16,S001-P0001,Electronics,46,196,63.18,66.465,45.42917
2023-10-17,S001-P0001,Electronics,66,168,61.48,66.465,76.136345
2023-10-18,S001-P0001,Electronics,20,126,48.5,66.465,46.06651
2023-10-19,S001-P0001,Electronics,53,229,46.32,66.465,78.10859
2023-10-20,S001-P0001,Electronics,77,167,60.71,66.465,74.7683
2023-10-21,S001-P0001,Electronics,36,78,51.79,66.465,56.364815
2023-10-22,S001-P0001,Electronics,47,214,57.28,66.465,52.905205
2023-10-23,S001-P0001,Electronics,101,171,61.6,66.465,67.0731
2023-10-24,S001-P0001,Electronics,53,62,61.7,66.465,45.486465
2023-10-25,S001-P0001,Electronics,152,182,76.92,66.465,123.136955
2023-10-26,S001-P0001,Electronics,106,68,55.83,66.465,123.81367
2023-10-27,S001-P0001,Electronics,143,288,78.95,66.465,106.509186
2023-10-28,S001-P0001,Electronics,114,143,80.26,66.465,107.32717
2023-10-29,S001-P0001,Electronics,162,285,87.76,66.465,105.65727
2023-10-30,S001-P0001,Electronics,109,181,75.22,66.465,87.905365
2023-10-31,S001-P0001,Electronics,66,393,68.12,66.465,87.580956
2023-11-01,S001-P0001,Electronics,99,346,54.56,66.465,117.052216
2023-11-02,S001-P0001,Electronics,128,245,83.79,66.465,104.29269
2023-11-03,S001-P0001,Electronics,137,102,65.53,66.465,111.16189
2023-11-04,S001-P0001,Electronics,120,269,73.56,66.465,84.10677
2023-11-05,S001-P0001,Electronics,105,444,70.31,66.465,84.96704
2023-11-06,S001-P0001,Electronics,97,354,76.05,66.465,84.527084
2023-11-07,S001-P0001,Electronics,99,255,65.04,66.465,110.39448
2023-11-08,S001-P0001,Electronics,144,187,71.06,66.465,141.73315
2023-11-09,S001-P0001,Electronics,117,259,81.04,66.465,84.28996
2023-11-10,S001-P0001,Electronics,77,450,70.95,66.465,87.19993
2023-11-11,S001-P0001,Electronics,91,394,74.61,66.465,86.09078
2023-11-12,S001-P0001,Electronics,95,308,64.26,66.465,110.593864
2023-11-13,S001-P0001,Electronics,35,227,45.27,66.465,128.08028
2023-11-14,S001-P0001,Electronics,122,196,74.19,66.465,85.34214
2023-11-15,S001-P0001,Electronics,90,99,63.41,66.465,84.9672
2023-11-16,S001-P0001,Electronics,164,276,66.28,66.465,129.69565
2023-11-17,S001-P0001,Electronics,102,90,69.56,66.465,84.4962
2023-11-18,S001-P0001,Electronics,106,269,62.72,66.465,111.27541
2023-11-19,S001-P0001,Electronics,127,199,79.47,66.465,106.61886
2023-11-20,S001-P0001,Electronics,132,314,72.66,66.465,112.48322
2023-11-21,S001-P0001,Electronics,56,192,56.23,66.465,105.73592
2023-11-22,S001-P0001,Electronics,100,430,65.68,66.465,96.80251
2023-11-23,S001-P0001,Electronics,71,324,66.1,66.465,83.63819
2023-11-24,S001-P0001,Electronics,56,244,62.5,66.465,96.78553
2023-11-25,S001-P0001,Electronics,107,210,78.53,66.465,84.79531
2023-11-26,S001-P0001,Electronics,148,94,71.06,66.465,137.9725
2023-11-27,S001-P0001,Electronics,88,196,73.78,66.465,103.10456
2023-11-28,S001-P0001,Electronics,139,347,82.38,66.465,85.41917
2023-11-29,S001-P0001,Electronics,148,240,89.0,66.465,106.66295
2023-11-30,S001-P0001,Electronics,99,443,72.7,66.465,94.46194
2023-12-01,S001-P0001,Electronics,109,326,79.16,66.465,103.80459
2023-12-02,S001-P0001,Electronics,160,202,74.29,66.465,124.247826
2023-12-03,S001-P0001,Electronics,119,43,73.4,66.465,95.87158
2023-12-04,S001-P0001,Electronics,73,275,59.94,66.465,122.63523
2023-12-05,S001-P0001,Electronics,24,407,54.67,66.465,97.65623
2023-12-06,S001-P0001,Electronics,142,385,74.73,66.465,108.426506
2023-12-07,S001-P0001,Electronics,131,264,84.62,66.465,95.44421
2023-12-08,S001-P0001,Electronics,147,165,79.68,66.465,123.3339
2023-12-09,S001-P0001,Electronics,99,237,65.53,66.465,86.213326
2023-12-10,S001-P0001,Electronics,127,129,62.63,66.465,107.22805
2023-12-11,S001-P0001,Electronics,67,199,65.11,66.465,85.95652
2023-12-12,S001-P0001,Electronics,161,422,78.41,66.465,134.78514
2023-12-13,S001-P0001,Electronics,40,279,52.83,66.465,108.426506
2023-12-14,S001-P0001,Electronics,75,232,63.56,66.465,104.60033
2023-12-15,S001-P0001,Electronics,69,151,58.53,66.465,108.803444
2023-12-16,S001-P0001,Electronics,70,267,59.21,66.465,99.275856
2023-12-17,S001-P0001,Electronics,36,220,57.75,66.465,94.724434
2023-12-18,S001-P0001,Electronics,109,194,71.38,66.465,96.8257
2023-12-19,S001-P0001,Electronics,118,67,69.63,66.465,107.63137
2023-12-20,S001-P0001,Electronics,104,235,74.02,66.465,86.3652
2023-12-21,S001-P0001,Electronics,136,412,73.32,66.465,105.24898
2023-12-22,S001-P0001,Electronics,64,255,67.67,66.465,103.80459
2023-12-23,S001-P0001,Electronics,89,184,70.41,66.465,85.83953
2023-12-24,S001-P0001,Electronics,147,112,66.4,66.465,132.22787
2023-12-25,S001-P0001,Electronics,72,206,55.88,66.465,110.065056
2023-12-26,S001-P0001,Electronics,132,422,60.45,66.465,111.04966
2023-12-27,S001-P0001,Electronics,51,303,51.49,66.465,64.58306
2023-12-28,S001-P0001,Electronics,73,261,63.06,66.465,58.44353
2023-12-29,S001-P0001,Electronics,90,183,70.67,66.465,59.151913
2023-12-30,S001-P0001,Electronics,54,104,61.96,66.465,47.084877
2023-12-31,S001-P0001,Electronics,60,259,63.43,66.465,53.20763
2024-01-01,S001-P0001,Electronics,62,216,63.94,66.465,51.333008
2024-01-02,S001-P0001,Electronics,31,150,56.35,66.465,52.615208
2024-01-03,S001-P0001,Electronics,52,230,54.9,66.465,72.66298
2024-01-04,S001-P0001,Electronics,47,173,50.78,66.465,62.55969
2024-01-05,S001-P0001,Electronics,71,127,59.46,66.465,56.521313
2024-01-06,S001-P0001,Electronics,52,186,46.04,66.465,72.07084
2024-01-07,S001-P0001,Electronics,71,297,66.0,66.465,46.547718
2024-01-08,S001-P0001,Electronics,28,224,46.91,66.465,68.987946
2024-01-09,S001-P0001,Electronics,75,192,66.86,66.465,82.83121
2024-01-10,S001-P0001,Electronics,98,117,65.22,66.465,83.699745
2024-01-11,S001-P0001,Electronics,141,198,65.28,66.465,110.12094
2024-01-12,S001-P0001,Electronics,83,227,68.78,66.465,94.35511
2024-01-13,S001-P0001,Electronics,111,466,64.28,66.465,134.68127
2024-01-14,S001-P0001,Electronics,74,337,63.17,66.465,83.40812
2024-01-15,S001-P0001,Electronics,114,254,68.71,66.465,94.38362
2024-01-16,S001-P0001,Electronics,31,164,53.71,66.465,82.66809
2024-01-17,S001-P0001,Electronics,88,394,63.1,66.465,96.39792
2024-01-18,S001-P0001,Electronics,86,327,69.59,66.465,101.6262
2024-01-19,S001-P0001,Electronics,90,273,55.71,66.465,107.92179
2024-01-20,S001-P0001,Electronics,141,196,78.34,66.465,104.28472
2024-01-21,S001-P0001,Electronics,109,218,60.17,66.465,120.57102
2024-01-22,S001-P0001,Electronics,218,372,90.63,66.465,133.99124
2024-01-23,S001-P0001,Electronics,68,135,68.85,66.465,82.83121
2024-01-24,S001-P0001,Electronics,98,441,58.06,66.465,123.302895
2024-01-25,S001-P0001,Electronics,137,325,77.43,66.465,101.897514
2024-01-26,S001-P0001,Electronics,72,237,69.69,66.465,94.24331
2024-01-27,S001-P0001,Electronics,99,471,72.78,66.465,83.549904
2024-01-28,S001-P0001,Electronics,139,371,82.25,66.465,93.58363
2024-01-29,S001-P0001,Electronics,112,259,79.88,66.465,94.06997
2024-01-30,S001-P0001,Electronics,111,383,71.56,66.465,82.751564
2023-10-03,S001-P0002,Clothing,64,104,49.65,66.89500000000001,133.68513
2023-10-04,S001-P0002,Clothing,242,92,86.92,66.89500000000001,134.43411
2023-10-05,S001-P0002,Clothing,185,256,66.94,66.89500000000001,121.09045
2023-10-06,S001-P0002,Clothing,97,82,65.62,66.89500000000001,101.46627
2023-10-07,S001-P0002,Clothing,67,86,59.19,66.89500000000001,88.385124
2023-10-08,S001-P0002,Clothing,191,99,81.63,66.89500000000001,124.92359
2023-10-09,S001-P0002,Clothing,128,194,72.45,66.89500000000001,96.8014
2023-10-10,S001-P0002,Clothing,161,180,79.66,66.89500000000001,88.786995
2023-10-11,S001-P0002,Clothing,110,259,72.12,66.89500000000001,105.36824
2023-10-12,S001-P0002,Clothing,141,174,75.24,66.89500000000001,89.57211
2023-10-13,S001-P0002,Clothing,95,149,65.21,66.89500000000001,89.24317
2023-10-14,S001-P0002,Clothing,184,200,80.23,66.89500000000001,112.76379
2023-10-15,S001-P0002,Clothing,114,279,69.35,66.89500000000001,90.53113
2023-10-16,S001-P0002,Clothing,54,156,59.31,66.89500000000001,88.83003
2023-10-17,S001-P0002,Clothing,80,98,52.62,66.89500000000001,133.19473
2023-10-18,S001-P0002,Clothing,156,141,66.15,66.89500000000001,111.81969
2023-10-19,S001-P0002,Clothing,43,197,56.77,66.89500000000001,106.65075
2023-10-20,S001-P0002,Clothing,154,164,78.06,66.89500000000001,107.31913
2023-10-21,S001-P0002,Clothing,90,198,60.7,66.89500000000001,105.0339
2023-10-22,S001-P0002,Clothing,106,138,67.62,66.89500000000001,99.30819
2023-10-23,S001-P0002,Clothing,153,124,61.49,66.89500000000001,121.75155
2023-10-24,S001-P0002,Clothing,89,184,63.95,66.89500000000001,88.23284
2023-10-25,S001-P0002,Clothing,185,123,80.28,66.89500000000001,135.143
2023-10-26,S001-P0002,Clothing,144,201,56.96,66.89500000000001,131.20523
2023-10-27,S001-P0002,Clothing,66,191,55.89,66.89500000000001,110.71179
2023-10-28,S001-P0002,Clothing,192,123,82.05,66.89500000000001,113.51935
2023-10-29,S001-P0002,Clothing,92,181,68.08,66.89500000000001,112.654686
2023-10-30,S001-P0002,Clothing,91,85,60.99,66.89500000000001,91.30206
