data,sku,categoria,demanda,estoque,preco,preco_ref,pred
2023-10-03,S001-P0001,Electronics,72,100,69.78,66.465,94.60616
2023-10-04,S001-P0001,Electronics,90,335,70.52,66.465,96.64373
2023-10-05,S001-P0001,Electronics,78,236,64.25,66.465,93.611275
2023-10-06,S001-P0001,Electronics,80,186,61.29,66.465,93.55178
2023-10-07,S001-P0001,Electronics,58,289,56.62,66.465,54.284996
2023-10-08,S001-P0001,Electronics,23,239,51.89,66.465,52.103382
2023-10-09,S001-P0001,Electronics,44,220,50.11,66.465,55.967358
2023-10-10,S001-P0001,Electronics,43,178,56.24,66.465,43.692745
2023-10-11,S001-P0001,Electronics,82,126,68.63,66.465,43.208572
2023-10-12,S001-P0001,Electronics,49,132,45.63,66.465,69.34755
2023-10-13,S001-P0001,Electronics,38,279,55.13,66.465,48.77013
2023-10-14,S001-P0001,Electronics,34,245,54.3,66.465,49.803844
2023-10-15,S001-P0001,Electronics,28,220,52.8,66.465,46.791897
2023-10-16,S001-P0001,Electronics,46,196,63.18,66.465,45.207596
2023-10-17,S001-P0001,Electronics,66,168,61.48,66.465,56.02605
2023-10-18,S001-P0001,Electronics,20,126,48.5,66.465,45.911324
2023-10-19,S001-P0001,Electronics,53,229,46.32,66.465,56.50107
2023-10-20,S001-P0001,Electronics,77,167,60.71,66.465,50.67709
2023-10-21,S001-P0001,Electronics,36,78,51.79,66.465,44.49856
2023-10-22,S001-P0001,Electronics,47,214,57.28,66.465,46.200024
2023-10-23,S001-P0001,Electronics,101,171,61.6,66.465,56.598736
2023-10-24,S001-P0001,Electronics,53,62,61.7,66.465,51.237633
2023-10-25,S001-P0001,Electronics,152,182,76.92,66.465,117.82746
2023-10-26,S001-P0001,Electronics,106,68,55.83,66.465,127.61401
2023-10-27,S001-P0001,Electronics,143,288,78.95,66.465,96.61
2023-10-28,S001-P0001,Electronics,114,143,80.26,66.465,99.31999
2023-10-29,S001-P0001,Electronics,162,285,87.76,66.465,99.01841
2023-10-30,S001-P0001,Electronics,109,181,75.22,66.465,105.5985
2023-10-31,S001-P0001,Electronics,66,393,68.12,66.465,105.61463
2023-11-01,S001-P0001,Electronics,99,346,54.56,66.465,134.42503
2023-11-02,S001-P0001,Electronics,128,245,83.79,66.465,102.65957
2023-11-03,S001-P0001,Electronics,137,102,65.53,66.465,133.42047
2023-11-04,S001-P0001,Electronics,120,269,73.56,66.465,105.78461
2023-11-05,S001-P0001,Electronics,105,444,70.31,66.465,106.68208
2023-11-06,S001-P0001,Electronics,97,354,76.05,66.465,108.07278
2023-11-07,S001-P0001,Electronics,99,255,65.04,66.465,136.83186
2023-11-08,S001-P0001,Electronics,144,187,71.06,66.465,136.67996
2023-11-09,S001-P0001,Electronics,117,259,81.04,66.465,106.16689
2023-11-10,S001-P0001,Electronics,77,450,70.95,66.465,107.32667
2023-11-11,S001-P0001,Electronics,91,394,74.61,66.465,103.3067
2023-11-12,S001-P0001,Electronics,95,308,64.26,66.465,135.35951
2023-11-13,S001-P0001,Electronics,35,227,45.27,66.465,132.84314
2023-11-14,S001-P0001,Electronics,122,196,74.19,66.465,103.59222
2023-11-15,S001-P0001,Electronics,90,99,63.41,66.465,102.50753
2023-11-16,S001-P0001,Electronics,164,276,66.28,66.465,130.81358
2023-11-17,S001-P0001,Electronics,102,90,69.56,66.465,102.98051
2023-11-18,S001-P0001,Electronics,106,269,62.72,66.465,134.28722
2023-11-19,S001-P0001,Electronics,127,199,79.47,66.465,101.54583
2023-11-20,S001-P0001,Electronics,132,314,72.66,66.465,136.5173
2023-11-21,S001-P0001,Electronics,56,192,56.23,66.465,104.56861
2023-11-22,S001-P0001,Electronics,100,430,65.68,66.465,105.598
2023-11-23,S001-P0001,Electronics,71,324,66.1,66.465,101.38299
2023-11-24,S001-P0001,Electronics,56,244,62.5,66.465,99.3892
2023-11-25,S001-P0001,Electronics,107,210,78.53,66.465,95.39628
2023-11-26,S001-P0001,Electronics,148,94,71.06,66.465,122.70216
2023-11-27,S001-P0001,Electronics,88,196,73.78,66.465,96.46485
2023-11-28,S001-P0001,Electronics,139,347,82.38,66.465,97.739815
2023-11-29,S001-P0001,Electronics,148,240,89.0,66.465,98.965294
2023-11-30,S001-P0001,Electronics,99,443,72.7,66.465,102.72527
2023-12-01,S001-P0001,Electronics,109,326,79.16,66.465,102.66515
2023-12-02,S001-P0001,Electronics,160,202,74.29,66.465,132.90982
2023-12-03,S001-P0001,Electronics,119,43,73.4,66.465,106.11161
2023-12-04,S001-P0001,Electronics,73,275,59.94,66.465,134.18956
2023-12-05,S001-P0001,Electronics,24,407,54.67,66.465,107.134094
2023-12-06,S001-P0001,Electronics,142,385,74.73,66.465,98.86688
2023-12-07,S001-P0001,Electronics,131,264,84.62,66.465,103.774956
2023-12-08,S001-P0001,Electronics,147,165,79.68,66.465,133.30333
2023-12-09,S001-P0001,Electronics,99,237,65.53,66.465,106.23909
2023-12-10,S001-P0001,Electronics,127,129,62.63,66.465,132.60199
2023-12-11,S001-P0001,Electronics,67,199,65.11,66.465,107.39429
2023-12-12,S001-P0001,Electronics,161,422,78.41,66.465,130.53337
2023-12-13,S001-P0001,Electronics,40,279,52.83,66.465,103.50154
2023-12-14,S001-P0001,Electronics,75,232,63.56,66.465,104.670555
2023-12-15,S001-P0001,Electronics,69,151,58.53,66.465,124.07685
2023-12-16,S001-P0001,Electronics,70,267,59.21,66.465,98.89643
2023-12-17,S001-P0001,Electronics,36,220,57.75,66.465,95.80053
2023-12-18,S001-P0001,Electronics,109,194,71.38,66.465,87.80289
2023-12-19,S001-P0001,Electronics,118,67,69.63,66.465,93.51112
2023-12-20,S001-P0001,Electronics,104,235,74.02,66.465,95.21804
2023-12-21,S001-P0001,Electronics,136,412,73.32,66.465,95.06536
2023-12-22,S001-P0001,Electronics,64,255,67.67,66.465,99.92578
2023-12-23,S001-P0001,Electronics,89,184,70.41,66.465,99.60745
2023-12-24,S001-P0001,Electronics,147,112,66.4,66.465,122.75346
2023-12-25,S001-P0001,Electronics,72,206,55.88,66.465,130.28252
2023-12-26,S001-P0001,Electronics,132,422,60.45,66.465,125.278404
2023-12-27,S001-P0001,Electronics,51,303,51.49,66.465,77.04601
