data,sku,categoria,demanda,estoque,preco,preco_ref,pred
2023-10-03,S001-P0001,Electronics,72,100,69.78,66.465,96.96045
2023-10-04,S001-P0001,Electronics,90,335,70.52,66.465,98.08611
2023-10-05,S001-P0001,Electronics,78,236,64.25,66.465,86.86245
2023-10-06,S001-P0001,Electronics,80,186,61.29,66.465,97.10344
2023-10-07,S001-P0001,Electronics,58,289,56.62,66.465,45.81526
2023-10-08,S001-P0001,Electronics,23,239,51.89,66.465,53.45789
2023-10-09,S001-P0001,Electronics,44,220,50.11,66.465,67.08704
2023-10-10,S001-P0001,Electronics,43,178,56.24,66.465,45.863594
2023-10-11,S001-P0001,Electronics,82,126,68.63,66.465,56.918404
2023-10-12,S001-P0001,Electronics,49,132,45.63,66.465,62.176743
2023-10-13,S001-P0001,Electronics,38,279,55.13,66.465,47.447388
2023-10-14,S001-P0001,Electronics,34,245,54.3,66.465,46.069195
2023-10-15,S001-P0001,Electronics,28,220,52.8,66.465,49.130028
2023-10-16,S001-P0001,Electronics,46,196,63.18,66.465,45.85048
2023-10-17,S001-P0001,Electronics,66,168,61.48,66.465,76.567604
2023-10-18,S001-P0001,Electronics,20,126,48.5,66.465,46.268726
2023-10-19,S001-P0001,Electronics,53,229,46.32,66.465,78.156334
2023-10-20,S001-P0001,Electronics,77,167,60.71,66.465,75.31961
2023-10-21,S001-P0001,Electronics,36,78,51.79,66.465,56.916924
2023-10-22,S001-P0001,Electronics,47,214,57.28,66.465,53.45789
2023-10-23,S001-P0001,Electronics,101,171,61.6,66.465,67.08704
2023-10-24,S001-P0001,Electronics,53,62,61.7,66.465,45.980568
2023-10-25,S001-P0001,Electronics,152,182,76.92,66.465,123.28291
2023-10-26,S001-P0001,Electronics,106,68,55.83,66.465,123.59855
2023-10-27,S001-P0001,Electronics,143,288,78.95,66.465,106.68314
2023-10-28,S001-P0001,Electronics,114,143,80.26,66.465,107.76145
2023-10-29,S001-P0001,Electronics,162,285,87.76,66.465,105.596565
2023-10-30,S001-P0001,Electronics,109,181,75.22,66.465,87.71815
2023-10-31,S001-P0001,Electronics,66,393,68.12,66.465,87.32423
2023-11-01,S001-P0001,Electronics,99,346,54.56,66.465,117.33869
2023-11-02,S001-P0001,Electronics,128,245,83.79,66.465,104.49186
2023-11-03,S001-P0001,Electronics,137,102,65.53,66.465,111.118004
2023-11-04,S001-P0001,Electronics,120,269,73.56,66.465,83.7248
2023-11-05,S001-P0001,Electronics,105,444,70.31,66.465,84.94867
2023-11-06,S001-P0001,Electronics,97,354,76.05,66.465,84.27478
2023-11-07,S001-P0001,Electronics,99,255,65.04,66.465,110.77682
2023-11-08,S001-P0001,Electronics,144,187,71.06,66.465,141.57613
2023-11-09,S001-P0001,Electronics,117,259,81.04,66.465,84.39077
2023-11-10,S001-P0001,Electronics,77,450,70.95,66.465,87.551865
2023-11-11,S001-P0001,Electronics,91,394,74.61,66.465,86.16002
2023-11-12,S001-P0001,Electronics,95,308,64.26,66.465,110.48464
2023-11-13,S001-P0001,Electronics,35,227,45.27,66.465,128.23578
2023-11-14,S001-P0001,Electronics,122,196,74.19,66.465,85.182816
2023-11-15,S001-P0001,Electronics,90,99,63.41,66.465,84.68124
2023-11-16,S001-P0001,Electronics,164,276,66.28,66.465,129.71242
2023-11-17,S001-P0001,Electronics,102,90,69.56,66.465,84.16993
2023-11-18,S001-P0001,Electronics,106,269,62.72,66.465,111.58888
2023-11-19,S001-P0001,Electronics,127,199,79.47,66.465,106.94266
2023-11-20,S001-P0001,Electronics,132,314,72.66,66.465,112.60601
2023-11-21,S001-P0001,Electronics,56,192,56.23,66.465,105.88533
2023-11-22,S001-P0001,Electronics,100,430,65.68,66.465,96.84377
2023-11-23,S001-P0001,Electronics,71,324,66.1,66.465,83.619064
2023-11-24,S001-P0001,Electronics,56,244,62.5,66.465,97.23414
2023-11-25,S001-P0001,Electronics,107,210,78.53,66.465,84.460625
2023-11-26,S001-P0001,Electronics,148,94,71.06,66.465,137.68245
2023-11-27,S001-P0001,Electronics,88,196,73.78,66.465,103.69994
2023-11-28,S001-P0001,Electronics,139,347,82.38,66.465,85.5595
2023-11-29,S001-P0001,Electronics,148,240,89.0,66.465,106.83366
2023-11-30,S001-P0001,Electronics,99,443,72.7,66.465,94.73722
2023-12-01,S001-P0001,Electronics,109,326,79.16,66.465,103.90841
2023-12-02,S001-P0001,Electronics,160,202,74.29,66.465,124.13463
2023-12-03,S001-P0001,Electronics,119,43,73.4,66.465,95.8863
2023-12-04,S001-P0001,Electronics,73,275,59.94,66.465,122.529305
2023-12-05,S001-P0001,Electronics,24,407,54.67,66.465,97.874664
2023-12-06,S001-P0001,Electronics,142,385,74.73,66.465,108.47307
2023-12-07,S001-P0001,Electronics,131,264,84.62,66.465,95.428825
2023-12-08,S001-P0001,Electronics,147,165,79.68,66.465,123.52706
2023-12-09,S001-P0001,Electronics,99,237,65.53,66.465,86.23446
2023-12-10,S001-P0001,Electronics,127,129,62.63,66.465,106.93325
2023-12-11,S001-P0001,Electronics,67,199,65.11,66.465,85.9053
2023-12-12,S001-P0001,Electronics,161,422,78.41,66.465,134.8849
2023-12-13,S001-P0001,Electronics,40,279,52.83,66.465,108.47307
2023-12-14,S001-P0001,Electronics,75,232,63.56,66.465,104.45887
2023-12-15,S001-P0001,Electronics,69,151,58.53,66.465,108.66641
2023-12-16,S001-P0001,Electronics,70,267,59.21,66.465,99.37592
2023-12-17,S001-P0001,Electronics,36,220,57.75,66.465,94.751045
2023-12-18,S001-P0001,Electronics,109,194,71.38,66.465,96.8979
