data,sku,categoria,demanda,estoque,preco,preco_ref,pred
2023-10-03,S001-P0001,Electronics,72,100,69.78,66.465,140.75825591375596
2023-10-04,S001-P0001,Electronics,90,335,70.52,66.465,140.39680331001531
2023-10-05,S001-P0001,Electronics,78,236,64.25,66.465,128.53893069814214
2023-10-06,S001-P0001,Electronics,80,186,61.29,66.465,141.456237843326
2023-10-07,S001-P0001,Electronics,58,289,56.62,66.465,81.17149094998042
2023-10-08,S001-P0001,Electronics,23,239,51.89,66.465,91.23087854815849
2023-10-09,S001-P0001,Electronics,44,220,50.11,66.465,113.50692931585053
2023-10-10,S001-P0001,Electronics,43,178,56.24,66.465,79.06048721347928
2023-10-11,S001-P0001,Electronics,82,126,68.63,66.465,104.77308499165159
2023-10-12,S001-P0001,Electronics,49,132,45.63,66.465,114.05370949448348
2023-10-13,S001-P0001,Electronics,38,279,55.13,66.465,79.30336610551814
2023-10-14,S001-P0001,Electronics,34,245,54.3,66.465,80.84251014750384
2023-10-15,S001-P0001,Electronics,28,220,52.8,66.465,79.91201913869925
2023-10-16,S001-P0001,Electronics,46,196,63.18,66.465,78.43556122223222
2023-10-17,S001-P0001,Electronics,66,168,61.48,66.465,130.00676343354618
2023-10-18,S001-P0001,Electronics,20,126,48.5,66.465,78.00426730683728
2023-10-19,S001-P0001,Electronics,53,229,46.32,66.465,131.1890662846257
2023-10-20,S001-P0001,Electronics,77,167,60.71,66.465,131.70460114140917
2023-10-21,S001-P0001,Electronics,36,78,51.79,66.465,109.38523978936729
2023-10-22,S001-P0001,Electronics,47,214,57.28,66.465,91.27075569624519
2023-10-23,S001-P0001,Electronics,101,171,61.6,66.465,113.51744469134916
2023-10-24,S001-P0001,Electronics,53,62,61.7,66.465,79.92466334274265
2023-10-25,S001-P0001,Electronics,152,182,76.92,66.465,179.07037927136037
2023-10-26,S001-P0001,Electronics,106,68,55.83,66.465,178.86934907758354
2023-10-27,S001-P0001,Electronics,143,288,78.95,66.465,157.32102849495564
2023-10-28,S001-P0001,Electronics,114,143,80.26,66.465,161.92995555101353
2023-10-29,S001-P0001,Electronics,162,285,87.76,66.465,159.34022134116765
2023-10-30,S001-P0001,Electronics,109,181,75.22,66.465,134.4501384356941
2023-10-31,S001-P0001,Electronics,66,393,68.12,66.465,134.16015105253155
